ean,product_id,manufacturer,article_type,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
1000000431087,586772,Avus Racing,Felge,provider 17,,,,,,
1000000431124,586745,Avus Racing,Felge,provider 17,,,,,,
1000000431155,586886,Avus Racing,Felge,provider 17,,,,,,
1000000431162,586883,Avus Racing,Felge,provider 17,,,,,,
1000000431216,586862,Avus Racing,Felge,provider 17,,,,,,
1000000431247,586865,Avus Racing,Felge,provider 17,,,,,,
1000000431261,586868,Avus Racing,Felge,provider 17,,,,,,
1000000431308,586838,Avus Racing,Felge,provider 17,,,,,,
1000000431315,586840,Avus Racing,Felge,provider 17,,,,,,
1000000431353,586871,Avus Racing,Felge,provider 17,,,,,,
1000000431360,586880,Avus Racing,Felge,provider 17,,,,,,
1000000431384,586881,Avus Racing,Felge,provider 17,,,,,,
1000000431452,586762,Avus Racing,Felge,provider 17,,,,,,
1000000431988,586831,Avus Racing,Felge,provider 17,,,,,,
1000000431995,586623,Avus Racing,Felge,provider 17,,,,,,
1000000433739,586775,Avus Racing,Felge,provider 17,,,,,,
1000000433791,586782,Avus Racing,Felge,provider 17,,,,,,
1000000433975,586791,Avus Racing,Felge,provider 17,,,,,,
1000000434026,586797,Avus Racing,Felge,provider 17,,,,,,
1000000434033,586798,Avus Racing,Felge,provider 17,,,,,,
1000000434040,586796,Avus Racing,Felge,provider 17,,,,,,
1000000434071,586786,Avus Racing,Felge,provider 17,,,,,,
1000000434118,586790,Avus Racing,Felge,provider 17,,,,,,
1000000434132,586799,Avus Racing,Felge,provider 17,,,,,,
1000000434149,586801,Avus Racing,Felge,provider 17,,,,,,
1000000434156,586802,Avus Racing,Felge,provider 17,,,,,,
1000000434163,586800,Avus Racing,Felge,provider 17,,,,,,
1000000435450,587028,Avus Racing,Felge,provider 17,,,,,,
1000000435467,587029,Avus Racing,Felge,provider 17,,,,,,
1000000435474,587030,Avus Racing,Felge,provider 17,,,,,,
1000000435481,587031,Avus Racing,Felge,provider 17,,,,,,
1000000435498,587032,Avus Racing,Felge,provider 17,,,,,,
1000000435504,587033,Avus Racing,Felge,provider 17,,,,,,
1000000435511,587025,Avus Racing,Felge,provider 17,,,,,,
1000000435528,587026,Avus Racing,Felge,provider 17,,,,,,
1000000435535,587027,Avus Racing,Felge,provider 17,,,,,,
1000000435542,587034,Avus Racing,Felge,provider 17,,,,,,
1000000435597,587045,Avus Racing,Felge,provider 17,,,,,,
1000000435603,587046,Avus Racing,Felge,provider 17,,,,,,
1000000435610,587047,Avus Racing,Felge,provider 17,,,,,,
1000000435641,587056,Avus Racing,Felge,provider 17,,,,,,
1000000435665,587058,Avus Racing,Felge,provider 17,,,,,,
1000000435672,587059,Avus Racing,Felge,provider 17,,,,,,
1000000435689,587060,Avus Racing,Felge,provider 17,,,,,,
1000000435993,622197,Avus Racing,Felge,provider 17,,,,,,
1000000437096,586806,Avus Racing,Felge,provider 17,,,,,,
1000000437201,586964,Avus Racing,Felge,provider 17,,,,,,
1000000437218,586965,Avus Racing,Felge,provider 17,,,,,,
1000000437232,586967,Avus Racing,Felge,provider 17,,,,,,
1000000437287,586972,Avus Racing,Felge,provider 17,,,,,,
1000000437294,586973,Avus Racing,Felge,provider 17,,,,,,
1000000437300,586968,Avus Racing,Felge,provider 17,,,,,,
1000000437317,586970,Avus Racing,Felge,provider 17,,,,,,
1000000437324,586969,Avus Racing,Felge,provider 17,,,,,,
1000000437355,1437169,Avus Racing,Felge,provider 17,,,,,,
1000000437393,586984,Avus Racing,Felge,provider 17,,,,,,
1000000437409,586983,Avus Racing,Felge,provider 17,,,,,,
1000000437485,586974,Avus Racing,Felge,provider 17,,,,,,
1000000437492,586976,Avus Racing,Felge,provider 17,,,,,,
1000000437546,586986,Avus Racing,Felge,provider 17,,,,,,
1000000437553,586987,Avus Racing,Felge,provider 17,,,,,,
1000000437560,586988,Avus Racing,Felge,provider 17,,,,,,
1000000437577,586977,Avus Racing,Felge,provider 17,,,,,,
1000000437584,586978,Avus Racing,Felge,provider 17,,,,,,
1000000437591,586979,Avus Racing,Felge,provider 17,,,,,,
1000000437607,586980,Avus Racing,Felge,provider 17,,,,,,
1000000437614,586981,Avus Racing,Felge,provider 17,,,,,,
1000000437652,587040,Avus Racing,Felge,provider 17,,,,,,
1000000437669,587041,Avus Racing,Felge,provider 17,,,,,,
1000000437683,587049,Avus Racing,Felge,provider 17,,,,,,
1000000437690,587050,Avus Racing,Felge,provider 17,,,,,,
1000000437713,587052,Avus Racing,Felge,provider 17,,,,,,
1000000437744,587064,Avus Racing,Felge,provider 17,,,,,,
1000000437751,587065,Avus Racing,Felge,provider 17,,,,,,
1000000437768,587066,Avus Racing,Felge,provider 17,,,,,,
1000000437775,587067,Avus Racing,Felge,provider 17,,,,,,
1000000437782,587068,Avus Racing,Felge,provider 17,,,,,,
1000000437799,587069,Avus Racing,Felge,provider 17,,,,,,
1000000437829,587000,Avus Racing,Felge,provider 17,,,,,,
1000000437881,587006,Avus Racing,Felge,provider 17,,,,,,
1000000437980,586548,Avus Racing,Felge,provider 17,,,,,,
1000000438000,586551,Avus Racing,Felge,provider 17,,,,,,
1000000438017,586552,Avus Racing,Felge,provider 17,,,,,,
1000000438048,586991,Avus Racing,Felge,provider 17,,,,,,
1000000438079,586994,Avus Racing,Felge,provider 17,,,,,,
1000000438109,586997,Avus Racing,Felge,provider 17,,,,,,
1000000438253,587012,Avus Racing,Felge,provider 17,,,,,,
1000000438338,1437186,Avus Racing,Felge,provider 17,,,,,,
1000000438376,1437174,Avus Racing,Felge,provider 17,,,,,,
1000000438383,1437175,Avus Racing,Felge,provider 17,,,,,,
1000000438406,1437150,Avus Racing,Felge,provider 17,,,,,,
1000000438444,1437176,Avus Racing,Felge,provider 17,,,,,,
1000000438505,1437178,Avus Racing,Felge,provider 17,,,,,,
1000000438512,1437156,Avus Racing,Felge,provider 17,,,,,,
1000000438529,1437179,Avus Racing,Felge,provider 17,,,,,,
1000000438536,1437187,Avus Racing,Felge,provider 17,,,,,,
1000000438543,1437155,Avus Racing,Felge,provider 17,,,,,,
1000000438604,1437180,Avus Racing,Felge,provider 17,,,,,,
1000000438635,1437182,Avus Racing,Felge,provider 17,,,,,,
1000000438659,1437157,Avus Racing,Felge,provider 17,,,,,,
1000000438666,1437183,Avus Racing,Felge,provider 17,,,,,,
1000000438703,1437143,Avus Racing,Felge,provider 17,,,,,,
1000000438710,1437184,Avus Racing,Felge,provider 17,,,,,,
1000000438727,1437185,Avus Racing,Felge,provider 17,,,,,,
1000000439366,598856,Avus Racing,Felge,provider 17,,,,,,
1000000439373,598857,Avus Racing,Felge,provider 17,,,,,,
1000000439380,598859,Avus Racing,Felge,provider 17,,,,,,
1000000439472,598812,Avus Racing,Felge,provider 17,,,,,,
1000000439502,598814,Avus Racing,Felge,provider 17,,,,,,
1000000439519,598816,Avus Racing,Felge,provider 17,,,,,,
1000000439526,598815,Avus Racing,Felge,provider 17,,,,,,
1000000439533,598802,Avus Racing,Felge,provider 17,,,,,,
1000000439540,598803,Avus Racing,Felge,provider 17,,,,,,
1000000439557,598804,Avus Racing,Felge,provider 17,,,,,,
