ean,product_id,manufacturer,article_type,provider,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
4019238036909,10010862,CONTINENTAL,Reifen,provider 16,175,65,R,15,,,ALLSEASONCONTACT XLFIA 3PMSF,,,,,,,
4019238037494,10010924,CONTINENTAL,Reifen,provider 16,215,65,R,15C,102,,VANC. 4SEASON 3PMSF,,,,,,,
4019238038231,10011172,CONTINENTAL,Reifen,provider 16,205,60,R,16,,,TS 870 3PMSF,,,,,,,
4019238038309,10011545,CONTINENTAL,Reifen,provider 16,205,55,R,16,,,TS 870 XL 3PMSF,,,,,,,
4019238038330,10011568,CONTINENTAL,Reifen,provider 16,225,45,R,17,,,TS 870 XLFR 3PMSF,,,,,,,
4019238039160,10012036,CONTINENTAL,Reifen,provider 16,265,30,R,20,,Z,SPORTC. 7 XLFR,,,,,,,
4019238039207,10011753,CONTINENTAL,Reifen,provider 16,275,40,R,20,,Z,SPORTC. 7 XLFR,,,,,,,
4019238040548,10011983,CONTINENTAL,Reifen,provider 16,225,35,R,19,,Z,SPORTC. 7 XLFR,,,,,,,
4019238040555,10011739,CONTINENTAL,Reifen,provider 16,245,40,R,19,,Z,SPORTC. 7 XLFR,,,,,,,
4019238040616,10012043,CONTINENTAL,Reifen,provider 16,275,35,R,19,,Z,SPORTC. 7 XLFR,,,,,,,
4019238041798,10010984,CONTINENTAL,Reifen,provider 16,255,45,R,20,,,SPORTC. 5 AOFR,,,,,,,
4019238044157,10011390,CONTINENTAL,Reifen,provider 16,235,45,R,20,,,ECOCONTACT 6Q SEAL XLVWFSL,,,,,,,
4019238049732,10011307,CONTINENTAL,Reifen,provider 16,235,60,R,17C,115,,VANC. ECO,,,,,,,
4019238054163,10011562,CONTINENTAL,Reifen,provider 16,215,65,R,17,,,TS 870 P FR M+S,,,,,,,
4019238054170,10011557,CONTINENTAL,Reifen,provider 16,215,60,R,17,,,TS 870 P FR M+S,,,,,,,
4019238054798,10011587,CONTINENTAL,Reifen,provider 16,235,55,R,18,,,TS 870 P FR 3PMSF,,,,,,,
4019238054804,10011580,CONTINENTAL,Reifen,provider 16,235,45,R,18,,,TS 870 P XLFR M+S,,,,,,,
4019238061284,10011484,CONTINENTAL,Reifen,provider 16,215,70,R,15CP,,,VANC. CAMPER 3PMSF,,,,,,,
4019238063554,10011427,CONTINENTAL,Reifen,provider 16,225,50,R,19,,,PREMIUMC. 6 XLFR,,,,,,,
4019238064001,10011785,CONTINENTAL,Reifen,provider 16,215,70,R,16,,,TS 870 P FR 3PMSF,,,,,,,
4019238064018,10011790,CONTINENTAL,Reifen,provider 16,225,55,R,16,,,TS 870 P XL 3PMSF,,,,,,,
4019238064247,10011775,CONTINENTAL,Reifen,provider 16,205,45,R,17,,,TS 870 P XLFR 3PMSF,,,,,,,
4019238064568,10011445,CONTINENTAL,Reifen,provider 16,255,45,R,20,,,PREMIUMC. 6 XLFR,,,,,,,
4019238065213,10011509,CONTINENTAL,Reifen,provider 16,235,50,R,19,,,PREMIUMC. 6 SEAL,,,,,,,
4019238065725,10011899,CONTINENTAL,Reifen,provider 16,185,60,R,15,,,ULTRACONTACT,,,,,,,
4019238065923,10012078,CONTINENTAL,Reifen,provider 16,225,45,R,17,,,ULTRACONTACT XLFR,,,,,,,
4019238066074,10011918,CONTINENTAL,Reifen,provider 16,195,55,R,16,,,ULTRACONTACT XLFR,,,,,,,
4019238066234,10012084,CONTINENTAL,Reifen,provider 16,235,40,R,18,,,ULTRACONTACT XLFR,,,,,,,
4019238066357,10011910,CONTINENTAL,Reifen,provider 16,195,50,R,15,,,ULTRACONTACT,,,,,,,
4019238066562,10011924,CONTINENTAL,Reifen,provider 16,195,60,R,16,,,ULTRACONTACT FR,,,,,,,
4019238066579,10011970,CONTINENTAL,Reifen,provider 16,215,60,R,16,,,ULTRACONTACT FR,,,,,,,
4019238066685,10011967,CONTINENTAL,Reifen,provider 16,215,55,R,18,,,ULTRACONTACT XLFR,,,,,,,
4019238072594,10012093,CONTINENTAL,Reifen,provider 16,245,45,R,19,,,ECOCONTACT 6Q XLFR,,,,,,,
4019238075908,10012176,CONTINENTAL,Reifen,provider 16,245,45,R,20,,Z,SPORTC. 7 XLFR,,,,,,,
4019238078541,10012117,CONTINENTAL,Reifen,provider 16,205,60,R,16,,,ULTRACONTACT FR,,,,,,,
4019238078817,10012424,CONTINENTAL,Reifen,provider 16,255,45,R,20,,Z,SPORTC. 7 XLFR,,,,,,,
4019238079098,10012330,CONTINENTAL,Reifen,provider 16,225,50,R,17,,,PREMIUMC. 7 XLFR,,,,,,,
