ean,product_id,manufacturer,article_type,source_file,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
8807622458408,240001122,NEXEN,Reifen,09.csv,205,60,R,15,,,WINGUARD SNOW G WH2 3PMSF,,09,,,,,,
8807622459207,240001006,NEXEN,Reifen,09.csv,195,60,R,15,,,WINGUARD SNOW G WH2 3PMSF,,09,,,,,,
8807622473609,240001341,NEXEN,Reifen,09.csv,225,55,R,17,,,N FERA SU1,,09,,,,,,
8807622478802,240000342,NEXEN,Reifen,09.csv,185,60,R,14,,,N'BLUE HD PLUS,,09,,,,,,
8807622488504,240000360,NEXEN,Reifen,09.csv,185,65,R,15,,,N'BLUE HD PLUS XL,,09,,,,,,
8807622498305,240001039,NEXEN,Reifen,09.csv,195,65,R,15,,,WINGUARD SNOW G WH2 XL 3PMSF,,09,,,,,,
8807622502200,240000804,NEXEN,Reifen,09.csv,155,65,R,14,,,WINGUARD SNOW G WH2 XL 3PMSF,,09,,,,,,
8807622509902,240000801,NEXEN,Reifen,09.csv,155,65,R,14,,,N BLUE HD PLUS,,09,,,,,,
8807622510007,240000825,NEXEN,Reifen,09.csv,165,65,R,14,,,N BLUE HD PLUS,,09,,,,,,
8807622510205,240000840,NEXEN,Reifen,09.csv,165,70,R,14,,,N BLUE HD PLUS,,09,,,,,,
8807622510304,240000885,NEXEN,Reifen,09.csv,175,70,R,14,,,N BLUE HD PLUS,,09,,,,,,
8807622510601,240000828,NEXEN,Reifen,09.csv,165,65,R,15,,,N BLUE HD PLUS,,09,,,,,,
8807622510700,240000872,NEXEN,Reifen,09.csv,175,65,R,15,,,N BLUE HD PLUS,,09,,,,,,
8807622510809,240000875,NEXEN,Reifen,09.csv,175,65,R,15,,,N BLUE HD PLUS,,09,,,,,,
8807622517600,240000980,NEXEN,Reifen,09.csv,195,55,R,15,,,N BLUE HD PLUS,,09,,,,,,
8807622517709,240001138,NEXEN,Reifen,09.csv,205,65,R,15,,,N BLUE HD PLUS,,09,,,,,,
8807622542800,240000789,NEXEN,Reifen,09.csv,145,65,R,15,,,N BLUE HD PLUS,,09,,,,,,
8807622544309,240001399,NEXEN,Reifen,09.csv,235,40,R,18,,Z,WINGUARD SPORT 2 WU7 X,,09,,,,,,
8807622545009,240001296,NEXEN,Reifen,09.csv,225,45,R,17,,,WINGUARD SPORT 2 WU7 XL 3PMS,,09,,,,,,
8807622547805,240001415,NEXEN,Reifen,09.csv,235,45,R,19,,,WINGUARD SPORT 2 WU7 XL 3PMS,,09,,,,,,
8807622548505,240001510,NEXEN,Reifen,09.csv,245,50,R,18,,,WINGUARD SPORT 2 WU7 XL 3PMS,,09,,,,,,
8807622550201,240000816,NEXEN,Reifen,09.csv,165,60,R,15,,,N BLUE HD PLUS,,09,,,,,,
8807622570704,240000882,NEXEN,Reifen,09.csv,175,70,R,13,,,WINGUARD SNOW G WH2 3PMSF,,09,,,,,,
8807622575303,240000989,NEXEN,Reifen,09.csv,195,55,R,16,,,N BLUE HD PLUS,,09,,,,,,
8808563135519,220002596,HANKOOK,Reifen,09.csv,165,,R,13C,92,,RA08 SBL,,09,,,,,,
8808563220093,220000704,HANKOOK,Reifen,09.csv,205,60,R,16C,98,,RA14 6PR,,09,,,,,,
8808563225890,250000228,HANKOOK,Reifen,09.csv,175,,R,13C,95,,RA08 8PR,,09,,,,,,
8808563225920,220002680,HANKOOK,Reifen,09.csv,215,75,R,14C,110,,RA08 SBL,,09,,,,,,
8808563225937,220002643,HANKOOK,Reifen,09.csv,195,75,R,14C,104,,RA08 SBL,,09,,,,,,
8808563228631,220000624,HANKOOK,Reifen,09.csv,195,40,R,17,,,K107 S1 EVO XL,,09,,,,,,
8808563231501,250001023,HANKOOK,Reifen,09.csv,165,70,R,13C,86,,RA08,,09,,,,,,
8808563240633,250000439,HANKOOK,Reifen,09.csv,225,60,R,16C,103,,RA14 6PR,,09,,,,,,
8808563283111,220002591,HANKOOK,Reifen,09.csv,145,70,R,13,,,K715 SBL,,09,,,,,,
8808563284019,220000975,HANKOOK,Reifen,09.csv,215,70,R,16C,106,,RA08 6PR,,09,,,,,,
8808563284231,220001558,HANKOOK,Reifen,09.csv,185,80,R,14,,,K715,,09,,,,,,
8808563285351,220001044,HANKOOK,Reifen,09.csv,215,50,R,17,,,K115,,09,,,,,,
8808563285481,220002097,HANKOOK,Reifen,09.csv,225,65,R,16,,,RA23 XL M+S,,09,,,,,,
8808563293479,220002126,HANKOOK,Reifen,09.csv,235,70,R,17,,,RA23 XL M+S,,09,,,,,,
8808563296890,220001124,HANKOOK,Reifen,09.csv,175,70,R,13,,,W442,,09,,,,,,
8808563296951,220001123,HANKOOK,Reifen,09.csv,165,70,R,13,,,W442,,09,,,,,,
8808563297033,220001127,HANKOOK,Reifen,09.csv,175,65,R,13,,,W442,,09,,,,,,
