product_id,EAN,manufacturer,article_description,tyre_width,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,stock,price,DOT,DEMO
TYRE-T50F82D84ED48,4981910508243,TOYO,205 R 14 C TL 109/107S OBSERVE VAN 8PR M+S 3PMSF,205,,14,109,S,OBSERVE VAN,50,86.18,,
TYRE-T5B16BA25EB62,3286342746814,BRIDGESTONE,225/40 R 19 XL TL 93W TURANZA 6 (MO) BSW ENLITEN,225,40,19,93,W,TURANZA 6 (MO),13,140.83,,
TYRE-T5D2F0BE448DC,6943829510418,GT-RADIAL,215/55 R 18 XL TL 99V FE2 SUV BSW,215,55,18,99,V,FE2 SUV,10,81.95,,
TYRE-T5D47589D9AFF,8019227447873,PIRELLI,225/45 R 18 XL TL 95V POWERGY WINTER MFS BSW M+S 3PMSF,225,45,18,95,V,POWERGY WINTER,13,114.07,,
TYRE-T68302CAE206A,5452001092211,GOODYEAR,255/50 R 21 TL 106H ULTRA GRIP PERFORMANCE 2 (*) ROF M+S 3PMSF,255,50,21,106,H,ULTRA GRIP PERFORMANCE 2 (*) ROF,6,428.40,,
TYRE-T77B1BE15BFCE,8605068713859,LINGLONG,225/40 R 18 XL TL 92W GRIP MASTER 4S MFS BSW M+S 3PMSF (SRB),225,40,18,92,W,GRIP MASTER 4S,27,54.91,,
TYRE-T7A56E649FE23,8059971000672,TRELLEBORG,9.00 - 16 TT  TD300 8PR,9.00,,16,,,TD300,16,537.22,,
TYRE-T7C1B1C0F7E2B,4718022023377,NANKANG,285/40 ZR 23 XL TL 111Y SPORTNEX AS-3 BSW,285,40,23,111,Y,SPORTNEX AS-3,20,170.17,,
TYRE-T84AF6DDD5BCD,4019238012132,CONTINENTAL,650/65 R 38 TL 157D/160A8 TRACTORMASTER,650,65,38,157,D,TRACTORMASTER,4,2093.32,,
TYRE-T853503840742,7291050055246,ALLIANCE,560/60 R 22.5 TL 164D AGRI-TRANSPORT ALL STEEL 390,560,60,22.5,164,D,AGRI-TRANSPORT ALL STEEL 390,4,1062.14,,
TYRE-T8A26E2AC27A9,6959753232975,TRIANGLE,285/45 R 19 XL TL 111Y EFFEXSPORT TH202 BSW M+S,285,45,19,111,Y,EFFEXSPORT TH202,8,126.24,,
TYRE-T8C9E62A54712,6927116117733,TRAZANO,215/80 R 16 XL TL 107S RADIAL SL369 A/T BSW M+S,215,80,16,107,S,RADIAL SL369 A/T,10,84.80,,
TYRE-T8E26E6BC1679,6943829512801,GITI,225/55 R 18 TL  98V GITISYNERGY H2 SUV BSW,225,55,18,98,V,GITISYNERGY H2 SUV,20,93.94,,
TYRE-T8E6054D41446,6972435760917,UNIGRIP,255/60 R 18 XL TL 112H LATERAL FORCE A/T,255,60,18,112,H,LATERAL FORCE A/T,50,98.03,,
TYRE-T94D58B8B76F0,5452000564900,VOYAGER,185/60 R 14 TL 82H VOYAGER SUMMER,185,60,14,82,H,VOYAGER SUMMER,25,32.92,,
TYRE-T9D8BA64AEA64,6959655451368,ROADX,185 R 15 C TL 103/102R RX QUEST C02 8PR BSW,185,,15,103,R,RX QUEST C02,8,52.28,,
TYRE-TBA679CD0D024,6938112613204,WESTLAKE,195/60 R 16 C TL 99/97T SW613 ALL SEASON MASTER 6PR BSW M+S 3PMSF,195,60,16,99,T,SW613 ALL SEASON MASTER,30,44.95,,
TYRE-TBB45D84A07E2,8019227216691,PIRELLI,120/70 ZR 17 M/C TL (58W) DIABLO SUPERCORSA SP V2,120,70,17,58,(W),DIABLO SUPERCORSA SP V2,15,113.16,,
TYRE-TC2B5E5C39270,3188649809974,DUNLOP,225/60 R 17 TL 99V SP SPORT MAXX TT (*) ROF,225,60,17,99,V,SP SPORT MAXX TT (*) ROF,16,167.34,,
TYRE-TD37881EF9BA5,6930213621393,DOUBLESTAR,275/40 R 20 XL TL 106V WINTERKING DW09 BSW M+S 3PMSF,275,40,20,106,V,WINTERKING DW09,40,81.11,,
TYRE-TD460D4D98BCE,4050496003340,MATADOR,205/45 R 17 XL TL 88Y HECTORRA 5 BSW,205,45,17,88,Y,HECTORRA 5 (EVc),38,63.99,,
TYRE-TD7671514A066,6419440351438,NOKIAN,265/70 R 19.5 TL 143/141J NOKIAN E-TRUCK TRAILER M+S 3PMSF,265,70,19.5,143,J,NOKIAN E-TRUCK TRAILER,8,298.12,,
TYRE-TDD7B4489CE53,4981910562214,TOYO,195/55 R 16 XL TL 91V PROXES COMFORT BSW,195,55,16,91,V,PROXES COMFORT,20,84.07,,
TYRE-TED86E3E6D728,3286340847711,BRIDGESTONE,140/70 - 12 M/C XL TL 65L BATTLAX SC R,140,70,12,65,L,BATTLAX SC R,5,62.05,,
TYRE-TF4E8609CA399,8718858218394,AEOLUS,12.00 R 24 TT 160/157K AGC08 20PR M+S 3PMSF SET,12.00,,24,160,K,AGC08,8,1658.76,,
TYRE-TF65D94C3E6D4,6938112606114,WESTLAKE,245/50 R 20 TL 102W SA37 SPORT BSW M+S,245,50,20,102,W,SA37 SPORT,30,70.82,,
TYRE-TFBA8B0C23524,6938628228305,GRENLANDER,215/45 R 18 XL TL 93W L-ZEAL56 BSW,215,45,18,93,W,L-ZEAL56,8,76.75,,
TYRE-T8101B5B93F4E,8019227292343,PIRELLI,315/30 R 21 XL TL 105V CINTURATO P7 ALL SEASON (N0) ECOIMPACT M+S,315,30,21,105,V,CINTURATO P7 ALL SEASON (N0),5,298.62,,
TYRE-T83A2F3700FD3,6927116183363,GOODRIDE,185/70 R 14 TL 88T SW608 SNOWMASTER +S M+S 3PMSF,185,70,14,88,T,SW608 SNOWMASTER,20,42.10,,
TYRE-T8702E52AD48C,8994242021935,DELI TIRE,26x11.00 - 12 TL 77F MAXI GRIP ULTRA SG-781 8PR,26,11.00,12,77,F,MAXI GRIP ULTRA SG-781,10,129.18,,
TYRE-T8EE4B6362BBE,4717784349756,MAXXIS,225/60 R 17 XL TL 103V PREMITRA ALL SEASON AP3 M+S 3PMSF,225,60,17,103,V,PREMITRA ALL SEASON AP3,50,83.17,,
TYRE-T9386286CE8A6,4038526341334,DUNLOP,200/50 ZR 17 TL  (75W) QUALIFIER CORE,200,50,17,75,(W),QUALIFIER CORE,6,128.58,,
TYRE-T95E29DE62F66,6953913156859,OVATION,215/55 R 17 XL TL 98V EV-582 BSW,215,55,17,98,V,EV-582,40,56.55,,
TYRE-T96797E02A070,6290300065234,ZEETEX,195 R 14 C TL 106/104T CT6000 ECO 8PR BSW,195,,14,106,T,CT6000 ECO,20,61.14,,
TYRE-T9DCFB0382623,5707562269146,KENDA,22x10.00 - 10 TL 39F K300 DOMINATOR 4PR E-KENNUNG,22,10.00,10,39,F,K300 DOMINATOR,40,67.06,,
TYRE-TA3EB2DBD62CE,6942163603008,THREE-A,225/55 ZR 17 XL TL 101W P606 BSW M+S,225,55,17,101,W,P606,20,73.72,,
TYRE-TA3FF88921D96,3528707662217,MICHELIN,205/75 R 17.5 TL 124/122M X MULTI D M+S 3PMSF RFID,205,75,17.5,124,M,X MULTI D,11,274.44,,
TYRE-TA92B6A3E60A9,3528700918779,MICHELIN,295/35 R 21 XL TL 107Y PILOT SPORT 4 SUV,295,35,21,107,Y,PILOT SPORT 4 SUV,18,217.88,,
TYRE-TAAC4CCEE681C,6953913172200,MIRAGE,195/50 R 16 XL TL 88V MR-182,195,50,16,88,V,MR-182,20,65.68,,
TYRE-TB13243ED10CF,8807622220487,NEXEN,205/65 R 15 TL 94H N BLUE HD PLUS BSW,205,65,15,94,H,N BLUE HD PLUS,20,48.20,,
TYRE-TB1F868E424E5,4019238072624,CONTINENTAL,295/80 R 22.5 HL TL 154/149M HSW2+ COACH 16PR M+S 3PMSF LRH,295,80,22.5,154,M,HSW2+ COACH,8,491.59,,
TYRE-TB34347BC3B7B,8714692995477,VREDESTEIN,235/45 R 17 XL TL 97Y ULTRAC+ FSL BSW (UNG),235,45,17,97,Y,ULTRAC+,24,72.43,,
TYRE-TB4AF78103177,4019238049985,CONTINENTAL,245/45 R 18 TL 96W CONTIECOCONTACT 5 CONTISEAL,245,45,18,96,W,CONTIECOCONTACT 5,5,145.53,,
TYRE-TBB6E322F7FD6,8886459520694,RADAR,215/75 R 16 C TL 116/114R ARGONITE (RV-4) 8PR +S M+S (CHN),215,75,16,116,R,ARGONITE (RV-4),50,63.95,,
TYRE-TBFE477403B28,6973308801386,WINDFORCE,275/40 ZR 20 XL TL 106Y CATCHFORS UHP PRO BSW,275,40,20,106,Y,CATCHFORS UHP PRO,4,79.90,,
TYRE-TC17145D41278,3286341677812,BRIDGESTONE,245/50 R 18 XL TL 104T BLIZZAK ICE BSW M+S 3PMSF NORDIC COMPOUND,245,50,18,104,T,BLIZZAK ICE,4,191.00,,
TYRE-TCBCBBCA1A7F9,3286341670417,BRIDGESTONE,225/55 R 17 XL TL 101V BLIZZAK LM005 DRIVEGUARD RFT M+S 3PMSF,225,55,17,101,V,BLIZZAK LM005 DRIVEGUARD RFT,6,161.33,,
TYRE-TD0280C345144,8808563467313,HANKOOK,195 R 14 C TL 106/104Q VANTRA ST AS2 8PR BSW M+S 3PMSF (KOR),195,,14,106,Q,VANTRA ST AS2,50,74.12,,
TYRE-TD2650E7C37F6,3528705124595,MICHELIN,205/55 R 16 TL 91H PRIMACY 5 BSW,205,55,16,91,H,PRIMACY 5,40,84.09,,
TYRE-R0BCD68B26A10,4250996351211,RC-DESIGN,6.5Jx16 H2 ET48 5x112x57.1 RC34 schwarz glanz voll-poliert (sgvp) V7,6.5,,16,,,,20,92.65,,
TYRE-R0F5757253512,8030580276269,MAK,7.5Jx18 H ET50 5x112x76.0 STILO gloss black,7.5,,18,,,,20,171.49,,
TYRE-R17FBC8098A3D,4026569133955,DEZENT,8.0Jx20 H2 ET48.5 5x108x63.4 DEZENT KG DARK black polished,8.0,,20,,,,40,199.98,,
TYRE-R4599AB0D1BBE,4059771011988,ALUTEC,8.5Jx20 H2 ET45 5x112x57.1 IKENU 5-LOCH metal grey,8.5,,20,,,,8,153.69,,
TYRE-R637B83E5829A,4250996358593,BROCK,8.5Jx20 H2 ET45 5x108x63.4 B43 cosmic-grey matt (cgm) X7,8.5,,20,,,,20,243.72,,
TYRE-R9FD242478177,4250996310225,BROCK,8.0Jx18 EH2+ ET40 5x110x65.1 B37 kristallsilber vollpoliert O2 RL:750kg,8.0,,18,,,,7,184.43,,
TYRE-RA0CC96B7B51A,4250996371806,BROCK,8.0Jx20 H2 ET47 5x112x57.1 B43 cosmic-grey matt (cgm) V7,8.0,,20,,,,6,240.89,,
TYRE-RA1C92C1CAA38,4026569082413,DEZENT,8.5Jx19 H2 ET38 5x112x57.1 DEZENT AR BLACK schwarz,8.5,,19,,,,50,173.00,,
