product_id,manufacturer_article_number,article_description,article_number,manufacturer_code,manufacturer,group ,vehicle_type,e-mark,european,tyre_width,tyre_aspect_ratio,tyre_diameter,tyre_load_index,nett-price,price,stock,EAN,internal_code,photolink,fuel_effeciency,wet_grip,noise_performance,Noise_Class,snow_grip,ice_label,eprel_id,eprel_url,wcat,article_type
469071,235 65 R 16TDURA/S.,235/65  R16 TL 115R BR DURAVIS A/S,DURA/S.,BR,BRIDGESTONE,37,ALL-SEASON LIGHT-TRU,J,N,235,65,16,115R,120.1,221,>  20,3286342885216,28852,https://www.etyre.net/preview/t3/br-duras..jpg,B,A,72,A,J,N,1807253,https://eprel.ec.europa.eu/qr/1807253,3,REIFEN
469074,195 60HR 17TEP150,195/60 HR17 TL 90H  BR EP150 ECOPIA,EP150,BR,BRIDGESTONE,11,LUXE BANDEN,J,N,195,60,17,90H,77,172,>  20,3286343087411,30874,https://www.etyre.net/preview/t3/br-ep150.jpg,A,B,67,A,N,N,1469846,https://eprel.ec.europa.eu/qr/1469846,1,REIFEN
469075,195 50HR 19TEP510,195/50 HR19 TL 88H  BR EP510 ECOPIA,EP510,BR,BRIDGESTONE,11,LUXE BANDEN,J,N,195,50,19,88H,84.55,165,6,3286343087510,30875,https://www.etyre.net/preview/t3/br-ep510.jpg,C,B,67,A,N,N,1469845,https://eprel.ec.europa.eu/qr/1469845,1,REIFEN
469081,255 35ZR 22TPOTSPORTSI,255/35 ZR22 TL 99Y  BR POTENZA SPORT XL B-SIL,POTSPORTSI,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,255,35,22,99Y,249.55,483,>  20,3286342843513,28435,https://www.etyre.net/preview/t3/br-potsportsi.jpg,D,B,72,B,N,N,1551094,https://eprel.ec.europa.eu/qr/1551094,2,REIFEN
469087,215 65VR 16TTUR6XL,215/65 VR16 TL 102V BR TURANZA 6 XL,TUR6XL,BR,BRIDGESTONE,17,4 X 4,J,J,215,65,16,102V,94.9,181,>  20,3286342051918,20519,https://www.etyre.net/preview/t3/br-tur6xl.jpg,B,A,70,B,N,N,501336,https://eprel.ec.europa.eu/qr/501336,3,REIFEN
469088,235 60HR 16TTUR6XL,235/60 HR16 TL 104H BR TURANZA 6 XL,TUR6XL,BR,BRIDGESTONE,17,4 X 4,J,J,235,60,16,104H,93.05,200,>  20,3286342052113,20521,https://www.etyre.net/preview/t3/br-tur6xl.jpg,B,A,70,B,N,N,502052,https://eprel.ec.europa.eu/qr/502052,3,REIFEN
469091,205 60VR 16TTUR6,205/60 VR16 TL 92V  BR TURANZA 6,TUR6,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,205,60,16,92V,90.55,163,>  20,3286342229911,22299,https://www.etyre.net/preview/t3/br-tur6.jpg,B,A,69,B,N,N,501079,https://eprel.ec.europa.eu/qr/501079,1,REIFEN
469095,195 55HR 16TTUR6XL,195/55 HR16 TL 91H  BR TURANZA 6 XL,TUR6XL,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,195,55,16,91H,95.37,173,>  20,3286342227818,22278,https://www.etyre.net/preview/t3/br-tur6xl.jpg,B,A,70,B,N,N,500846,https://eprel.ec.europa.eu/qr/500846,1,REIFEN
469097,205 55HR 16TTUR6,205/55 HR16 TL 91H  BR TURANZA 6,TUR6,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,205,55,16,91H,66.4,116,>  20,3286342230115,22301,https://www.etyre.net/preview/t3/br-tur6.jpg,B,A,69,B,N,N,501003,https://eprel.ec.europa.eu/qr/501003,1,REIFEN
469098,205 55VR 16TTUR6,205/55 VR16 TL 91V  BR TURANZA 6,TUR6,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,205,55,16,91V,62.25,117,>  20,3286342228310,22283,https://www.etyre.net/preview/t3/br-tur6.jpg,B,A,69,B,N,N,501006,https://eprel.ec.europa.eu/qr/501006,1,REIFEN
469100,205 55WR 16TTUR6,205/55 WR16 TL 91W  BR TURANZA 6,TUR6,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,205,55,16,91W,70.3,122,>  20,3286342228617,22286,https://www.etyre.net/preview/t3/br-tur6.jpg,B,A,69,B,N,N,501012,https://eprel.ec.europa.eu/qr/501012,1,REIFEN
469101,215 55VR 16TTUR6,215/55 VR16 TL 93V  BR TURANZA 6,TUR6,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,215,55,16,93V,109.25,200,>  20,3286342232515,22325,https://www.etyre.net/preview/t3/br-tur6.jpg,B,A,69,B,N,N,501209,https://eprel.ec.europa.eu/qr/501209,1,REIFEN
469105,195 50VR 16TTUR6XL,195/50 VR16 TL 88V  BR TURANZA 6 XL,TUR6XL,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,195,50,16,88V,104.3,191,>  20,3286342227511,22275,https://www.etyre.net/preview/t3/br-tur6xl.jpg,B,A,70,B,N,N,500827,https://eprel.ec.europa.eu/qr/500827,1,REIFEN
469106,205 50WR 16TTUR6,205/50 WR16 TL 87W  BR TURANZA 6,TUR6,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,205,50,16,87W,98.35,184,>  20,3286342228518,22285,https://www.etyre.net/preview/t3/br-tur6.jpg,B,A,69,B,N,N,500976,https://eprel.ec.europa.eu/qr/500976,1,REIFEN
469107,195 45VR 16TTUR6XL,195/45 VR16 TL 84V  BR TURANZA 6 XL,TUR6XL,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,195,45,16,84V,78.7,141,>  20,3286342227412,22274,https://www.etyre.net/preview/t3/br-tur6xl.jpg,B,A,70,B,N,N,500814,https://eprel.ec.europa.eu/qr/500814,1,REIFEN
469108,205 45WR 16TTUR6XL,205/45 WR16 TL 87W  BR TURANZA 6 XL,TUR6XL,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,205,45,16,87W,100.9,180,>  20,3286342228013,22280,https://www.etyre.net/preview/t3/br-tur6xl.jpg,B,A,70,B,N,N,500963,https://eprel.ec.europa.eu/qr/500963,1,REIFEN
469109,215 45VR 16TTUR6XL,215/45 VR16 TL 90V  BR TURANZA 6 XL,TUR6XL,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,215,45,16,90V,115.2,206,>  20,3286342230610,22306,https://www.etyre.net/preview/t3/br-tur6xl.jpg,B,A,70,B,N,N,501153,https://eprel.ec.europa.eu/qr/501153,1,REIFEN
469113,235 40VR 20TTUR6XL,235/40 VR20 TL 96V  BR TURANZA 6 XL AR,TUR6XL,BR,BRIDGESTONE,11,LUXE BANDEN,J,J,235,40,20,96V,172.35,333,>  20,3286342863313,28633,https://www.etyre.net/preview/t3/br-tur6xl.jpg,A,B,68,A,N,N,1678226,https://eprel.ec.europa.eu/qr/1678226,3,REIFEN
469114,195 60HR 18TTURAS6XL,195/60 HR18 TL 96H  BR TURANZA AS 6 XL,TURAS6XL,BR,BRIDGESTONE,38,ALL-SEASON 4X4/SUV,J,J,195,60,18,96H,103.75,196,>  20,3286343252017,32520,https://www.etyre.net/preview/t3/br-turas6xl.jpg,C,B,70,B,J,N,2067561,https://eprel.ec.europa.eu/qr/2067561,1,REIFEN
469116,215 50HR 19TTURAS6,215/50 HR19 TL 93H  BR TURANZA AS 6,TURAS6,BR,BRIDGESTONE,38,ALL-SEASON 4X4/SUV,J,J,215,50,19,93H,104.45,202,>  20,3286343253014,32530,https://www.etyre.net/preview/t3/br-turas6.jpg,C,B,70,B,J,N,2067558,https://eprel.ec.europa.eu/qr/2067558,3,REIFEN
469117,215 45WR 20TTURAS6XL,215/45 WR20 TL 95W  BR TURANZA AS 6 XL,TURAS6XL,BR,BRIDGESTONE,38,ALL-SEASON 4X4/SUV,J,J,215,45,20,95W,136.8,257,>  20,3286343251911,32519,https://www.etyre.net/preview/t3/br-turas6xl.jpg,C,B,70,B,J,N,2002733,https://eprel.ec.europa.eu/qr/2002733,3,REIFEN
469119,205 50WR 17TTURAS6XL,205/50 WR17 TL 93W  BR TURANZA AS 6 XL,TURAS6XL,BR,BRIDGESTONE,29,ALL-SEASON PW,J,J,205,50,17,93W,94.25,180,>  20,3286342391519,23915,https://www.etyre.net/preview/t3/br-turas6xl.jpg,C,B,70,B,J,N,500984,https://eprel.ec.europa.eu/qr/500984,1,REIFEN
469120,215 40YR 18TTURAS6XL,215/40 YR18 TL 89Y  BR TURANZA AS 6 XL,TURAS6XL,BR,BRIDGESTONE,29,ALL-SEASON PW,J,J,215,40,18,89Y,99.05,187,>  20,3286342673417,26734,https://www.etyre.net/preview/t3/br-turas6xl.jpg,C,B,70,B,J,N,603387,https://eprel.ec.europa.eu/qr/603387,1,REIFEN
469124,215 65VR 17TTURAS6DG,215/65 VR17 TL 99V  BR TURANZA AS 6 DG RFT,TURAS6DG,BR,BRIDGESTONE,39,ALL-SEASON RUNFLAT,J,J,215,65,17,99V,105.35,199,>  20,3286342967219,29672,https://www.etyre.net/preview/t3/br-turas6dg.jpg,D,B,71,B,J,N,2067570,https://eprel.ec.europa.eu/qr/2067570,3,REIFEN
469125,215 60VR 17TTURAS6DGXL,215/60 VR17 TL 100V BR TURANZA AS 6 DG RFT XL,TURAS6DGXL,BR,BRIDGESTONE,39,ALL-SEASON RUNFLAT,J,J,215,60,17,100V,111.1,217,>  20,3286342388410,23884,https://www.etyre.net/preview/t3/br-turas6dgxl.jpg,D,B,71,B,J,N,501297,https://eprel.ec.europa.eu/qr/501297,3,REIFEN
469127,235 60VR 18TTURAS6DG,235/60 VR18 TL 103V BR TURANZA AS 6 DG RFT,TURAS6DG,BR,BRIDGESTONE,39,ALL-SEASON RUNFLAT,J,J,235,60,18,103V,128.95,235,>  20,3286342662510,26625,https://www.etyre.net/preview/t3/br-turas6dg.jpg,D,B,71,B,J,N,603328,https://eprel.ec.europa.eu/qr/603328,3,REIFEN
469129,225 55VR 18TTURAS6DGXL,225/55 VR18 TL 102V BR TURANZA AS 6 DG RFT XL,TURAS6DGXL,BR,BRIDGESTONE,39,ALL-SEASON RUNFLAT,J,J,225,55,18,102V,112.75,237,>  20,3286343121412,31214,https://www.etyre.net/preview/t3/br-turas6dgxl.jpg,D,B,71,B,J,N,2067568,https://eprel.ec.europa.eu/qr/2067568,3,REIFEN
469135,205 55VR 17TTURAS6DGXL,205/55 VR17 TL 95V  BR TURANZA AS 6 DG RFT XL,TURAS6DGXL,BR,BRIDGESTONE,39,ALL-SEASON RUNFLAT,J,J,205,55,17,95V,117.55,204,>  20,3286342894614,28946,https://www.etyre.net/preview/t3/br-turas6dgxl.jpg,D,B,71,B,J,N,2028286,https://eprel.ec.europa.eu/qr/2028286,1,REIFEN
469136,225 55WR 17TTURAS6DGXL,225/55 WR17 TL 101W BR TURANZA AS 6 DG RFT XL,TURAS6DGXL,BR,BRIDGESTONE,39,ALL-SEASON RUNFLAT,J,J,225,55,17,101W,125.2,234,>  20,3286343121313,31213,https://www.etyre.net/preview/t3/br-turas6dgxl.jpg,C,B,71,B,J,N,2064944,https://eprel.ec.europa.eu/qr/2064944,3,REIFEN
469137,225 50VR 17TTURAS6DGXL,225/50 VR17 TL 98V  BR TURANZA AS 6 DG RFT XL,TURAS6DGXL,BR,BRIDGESTONE,39,ALL-SEASON RUNFLAT,J,J,225,50,17,98V,115.8,223,>  20,3286342388618,23886,https://www.etyre.net/preview/t3/br-turas6dgxl.jpg,D,B,71,B,J,N,501567,https://eprel.ec.europa.eu/qr/501567,1,REIFEN
469138,205 45VR 17TTURAS6DGXL,205/45 VR17 TL 88V  BR TURANZA AS 6 DG RFT XL,TURAS6DGXL,BR,BRIDGESTONE,39,ALL-SEASON RUNFLAT,J,J,205,45,17,88V,113,212,>  20,3286343121610,31216,https://www.etyre.net/preview/t3/br-turas6dgxl.jpg,D,B,71,B,J,N,1939962,https://eprel.ec.europa.eu/qr/1939962,1,REIFEN
469139,225 45WR 17TTURAS6DGXL,225/45 WR17 TL 94W  BR TURANZA AS 6 DG RFT XL,TURAS6DGXL,BR,BRIDGESTONE,39,ALL-SEASON RUNFLAT,J,J,225,45,17,94W,87.8,165,>  20,3286342388519,23885,https://www.etyre.net/preview/t3/br-turas6dgxl.jpg,D,B,71,B,J,N,501494,https://eprel.ec.europa.eu/qr/501494,1,REIFEN
469140,225 45WR 18TTURAS6DGXL,225/45 WR18 TL 95W  BR TURANZA AS 6 DG RFT XL,TURAS6DGXL,BR,BRIDGESTONE,39,ALL-SEASON RUNFLAT,J,J,225,45,18,95W,130.6,260,>  20,3286342662411,26624,https://www.etyre.net/preview/t3/br-turas6dgxl.jpg,D,B,71,B,J,N,603327,https://eprel.ec.europa.eu/qr/603327,1,REIFEN
469141,245 45YR 18TTURAS6DGXL,245/45 YR18 TL 100Y BR TURANZA AS 6 DG RFT XL,TURAS6DGXL,BR,BRIDGESTONE,39,ALL-SEASON RUNFLAT,J,J,245,45,18,100Y,143.95,266,>  20,3286342967318,29673,https://www.etyre.net/preview/t3/br-turas6dgxl.jpg,D,B,71,B,J,N,2068228,https://eprel.ec.europa.eu/qr/2068228,3,REIFEN
